Id,AnswerCount,Score,Ratio
918,2,2,1.0
920,5,6,0.83
926,6,10,0.6
933,2,4,0.5
943,4,24,0.17
944,3,5,0.6
951,1,1,1.0
958,4,7,0.57
960,3,5,0.6
966,3,10,0.3
971,2,4,0.5
981,10,61,0.16
984,10,15,0.67
992,1,8,0.12
995,2,6,0.33
1004,10,15,0.67
1010,5,35,0.14
1023,3,2,1.5
1024,5,1,5.0
1026,4,9,0.44
1031,6,1,6.0
1038,2,1,2.0
1041,4,19,0.21
1054,17,2,8.5
1063,2,0,2.0
1066,2,11,0.18
1070,3,0,3.0
1081,1,11,0.09
1084,3,1,3.0
1089,3,3,1.0
1093,9,111,0.08
1094,1,0,1.0
1096,7,5,1.4
1103,5,-3,-1.67
1110,4,1,4.0
1114,10,37,0.27
1120,12,2,6.0
1124,4,1,4.0
1125,5,47,0.11
1149,4,0,4.0
1159,3,2,1.5
1163,4,5,0.8
1170,6,65,0.09
1177,11,86,0.13
1182,7,58,0.12
1187,2,6,0.33
1189,7,79,0.09
1191,10,52,0.19
1193,1,7,0.14
1195,8,62,0.13
1201,7,-5,-1.4
1207,1,1,1.0
1208,1,5,0.2
1209,2,14,0.14
1218,5,29,0.17
1219,5,23,0.22
1226,7,4,1.75
1227,2,31,0.06
1234,2,2,1.0
1238,4,11,0.36
1242,4,18,0.22
1251,2,5,0.4
1254,3,2,1.5
1260,5,-1,-5.0
1262,2,1,2.0
1263,3,1,3.0
1265,3,9,0.33
1270,2,1,2.0
1271,1,0,1.0
1274,4,90,0.04
1276,1,0,1.0
1279,1,2,0.5
1284,5,4,1.25
1289,6,-1,-6.0
1301,2,5,0.4
1302,4,0,4.0
1306,4,17,0.24
1311,1,1,1.0
1313,4,16,0.25
1320,2,0,2.0
1323,4,7,0.57
1326,22,59,0.37
1327,2,1,2.0
1330,4,5,0.8
1331,3,0,3.0
1338,1,7,0.14
1340,1,1,1.0
1343,6,6,1.0
1350,3,17,0.18
1353,2,9,0.22
1357,2,8,0.25
1359,4,23,0.17
1362,7,5,1.4
1370,1,2,0.5
1375,3,0,3.0
1377,6,7,0.86
1380,2,12,0.17
1383,4,18,0.22
1385,2,13,0.15
1389,2,5,0.4
1390,8,44,0.18
1393,2,1,2.0
1394,3,1,3.0
1409,11,158,0.07
1410,4,8,0.5
1413,10,54,0.19
1417,1,9,0.11
1418,5,21,0.24
1422,3,3,1.0
1442,5,12,0.42
1451,5,8,0.62
1459,5,11,0.45
1466,11,22,0.5
1471,3,9,0.33
1472,6,7,0.86
1475,8,57,0.14
1477,8,21,0.38
1483,31,35,0.89
1493,2,1,2.0
1500,2,0,2.0
1506,2,-1,-2.0
1508,6,6,1.0
1519,2,0,2.0
1524,13,69,0.19
1534,4,2,2.0
1535,3,2,1.5
1543,3,10,0.3
1555,3,5,0.6
1556,4,8,0.5
1560,1,11,0.09
1569,2,7,0.29
1570,1,11,0.09
1573,5,2,2.5
1576,6,12,0.5
1577,4,25,0.16
1586,4,2,2.0
1587,3,6,0.5
1588,3,1,3.0
1596,7,9,0.78
1600,8,10,0.8
1610,11,40,0.28
1613,1,2,0.5
1620,5,7,0.71
1622,3,5,0.6
1632,3,1,3.0
1643,4,2,2.0
1649,3,7,0.43
1652,1,1,1.0
1656,1,1,1.0
1659,5,57,0.09
1661,3,9,0.33
1662,10,33,0.3
1665,3,1,3.0
1672,3,13,0.23
1675,3,1,3.0
1681,2,1,2.0
1682,1,12,0.08
1690,1,2,0.5
1696,5,45,0.11
1700,3,0,3.0
1703,3,19,0.16
1705,5,6,0.83
1710,3,1,3.0
1713,1,5,0.2
1714,2,21,0.1
1716,3,6,0.5
1718,4,5,0.8
1725,3,5,0.6
1731,1,3,0.33
1733,1,1,1.0
1734,8,15,0.53
1738,5,4,1.25
1747,3,2,1.5
1751,11,94,0.12
1763,3,13,0.23
1765,16,23,0.7
1768,6,23,0.26
1774,5,16,0.31
1777,21,52,0.4
1781,2,0,2.0
1790,7,5,1.4
1802,6,2,3.0
1803,7,36,0.19
1813,18,15,1.2
1821,1,0,1.0
1826,3,1,3.0
1832,14,9,1.56
1853,3,3,1.0
1861,1,4,0.25
1863,4,8,0.5
1867,3,3,1.0
1871,7,8,0.88
1890,3,9,0.33
1895,5,5,1.0
1898,1,-1,-1.0
1901,1,6,0.17
1904,1,2,0.5
1909,8,8,1.0
1916,3,2,1.5
1929,7,2,3.5
1930,4,6,0.67
1938,1,2,0.5
1939,14,24,0.58
1957,3,8,0.38
1964,2,0,2.0
1967,3,6,0.5
1971,7,1,7.0
1975,3,14,0.21
1980,1,2,0.5
1982,6,10,0.6
1984,3,1,3.0
1985,0,6,0.0
1986,8,1,8.0
1998,5,9,0.56
1999,4,12,0.33
2001,1,1,1.0
2014,2,2,1.0
2018,1,4,0.25
2025,4,4,1.0
2028,3,2,1.5
2031,1,10,0.1
2035,7,35,0.2
2038,4,13,0.31
2040,3,15,0.2
2047,2,4,0.5
2063,6,7,0.86
2065,5,6,0.83
2072,2,2,1.0
2073,1,1,1.0
2074,2,7,0.29
2079,2,3,0.67
2081,2,0,2.0
2085,3,6,0.5
2108,2,1,2.0
2109,2,1,2.0
2115,4,14,0.29
2132,2,2,1.0
2133,3,6,0.5
2136,2,2,1.0
2137,9,10,0.9
2148,5,5,1.0
2167,6,23,0.26
2169,4,4,1.0
2175,1,2,0.5
2179,7,3,2.33
2181,3,6,0.5
2200,5,4,1.25
2203,3,-1,-3.0
2208,5,9,0.56
2229,1,1,1.0
2231,5,29,0.17
2234,1,0,1.0
2236,2,8,0.25
2238,5,12,0.42
2239,3,0,3.0
2241,4,21,0.19
2250,2,3,0.67
2251,3,2,1.5
2261,5,24,0.21
2266,8,4,2.0
2267,33,68,0.49
2275,9,0,9.0
2282,2,3,0.67
2300,1,1,1.0
2303,4,36,0.11
2305,1,19,0.05
2307,3,17,0.18
2314,1,3,0.33
2315,4,1,4.0
2317,2,0,2.0
2321,2,10,0.2
2322,4,17,0.24
2323,2,4,0.5
2327,1,5,0.2
2328,2,4,0.5
2347,1,9,0.11
2348,2,2,1.0
2356,4,3,1.33
2360,6,12,0.5
2362,3,0,3.0
2368,4,2,2.0
2374,2,3,0.67
2385,3,0,3.0
2410,3,5,0.6
2423,3,2,1.5
2429,6,3,2.0
2438,4,1,4.0
2445,5,3,1.67
2451,22,17,1.29
2456,1,1,1.0
2458,10,3,3.33
2463,1,1,1.0
2469,4,5,0.8
2482,6,2,3.0
2489,2,3,0.67
2498,2,5,0.4
2500,3,-7,-0.43
2508,10,37,0.27
2518,2,4,0.5
2519,1,14,0.07
2520,10,7,1.43
2522,1,1,1.0
2527,2,0,2.0
2532,3,3,1.0
2538,1,0,1.0
2542,4,29,0.14
2546,4,0,4.0
2557,6,8,0.75
2560,2,10,0.2
2563,7,6,1.17
2574,4,4,1.0
2582,4,4,1.0
2585,4,5,0.8
2586,3,41,0.07
2588,5,65,0.08
2593,4,0,4.0
2605,3,0,3.0
2607,1,3,0.33
2613,1,4,0.25
2615,3,4,0.75
2620,3,1,3.0
2621,5,5,1.0
2627,4,1,4.0
2631,2,11,0.18
2632,5,10,0.5
2634,2,0,2.0
2639,4,1,4.0
2645,3,83,0.04
2647,3,10,0.3
2651,4,2,2.0
2657,3,4,0.75
2660,3,1,3.0
2668,1,1,1.0
2672,2,0,2.0
2677,3,22,0.14
2682,2,0,2.0
2683,5,4,1.25
2686,9,12,0.75
2695,1,2,0.5
2700,2,4,0.5
2702,1,3,0.33
2706,10,33,0.3
2708,1,1,1.0
2713,2,1,2.0
2714,4,4,1.0
2716,3,3,1.0
2735,5,1,5.0
2737,5,4,1.25
2742,4,4,1.0
2747,4,6,0.67
2753,5,5,1.0
2765,2,10,0.2
2770,2,4,0.5
2771,5,1,5.0
2773,1,2,0.5
2779,10,118,0.08
2781,4,6,0.67
2785,9,14,0.64
2786,5,8,0.62
2790,3,3,1.0
2800,7,5,1.4
2812,2,0,2.0
2813,4,8,0.5
2817,1,5,0.2
2821,1,1,1.0
2824,5,1,5.0
2832,4,5,0.8
2842,2,1,2.0
2860,7,4,1.75
2884,2,1,2.0
2892,4,0,4.0
2897,8,0,8.0
2908,2,5,0.4
2931,9,16,0.56
2936,3,2,1.5
2938,2,1,2.0
2941,2,5,0.4
2947,1,0,1.0
2949,5,8,0.62
2950,23,47,0.49
2952,3,3,1.0
2962,1,-1,-1.0
2963,2,4,0.5
2967,11,10,1.1
2974,2,4,0.5
2980,2,11,0.18
2984,11,7,1.57
2987,4,1,4.0
2995,4,1,4.0
2996,1,1,1.0
3000,5,2,2.5
3005,1,5,0.2
3014,5,2,2.5
3024,6,5,1.2
3032,2,10,0.2
3037,1,0,1.0
3040,3,-1,-3.0
3048,1,1,1.0
3049,4,7,0.57
3050,1,8,0.12
3053,3,0,3.0
3068,4,6,0.67
3070,4,4,1.0
3075,1,1,1.0
3076,2,4,0.5
3077,1,0,1.0
3080,2,1,2.0
3086,63,95,0.66
3087,1,1,1.0
3110,8,10,0.8
3113,2,0,2.0
3122,21,42,0.5
3127,5,20,0.25
3129,10,7,1.43
3131,7,8,0.88
3155,1,11,0.09
3162,2,1,2.0
3163,12,7,1.71
3167,3,3,1.0
3171,1,1,1.0
3177,3,6,0.5
3179,7,5,1.4
3185,2,3,0.67
3193,4,3,1.33
3209,9,3,3.0
3223,4,9,0.44
3230,6,17,0.35
3232,4,3,1.33
3238,1,11,0.09
3248,2,2,1.0
3251,4,4,1.0
3262,7,2,3.5
3274,4,3,1.33
3283,8,8,1.0
3294,8,124,0.06
3299,2,5,0.4
3302,4,1,4.0
3314,4,4,1.0
3315,2,5,0.4
3327,3,10,0.3
3330,8,31,0.26
3346,3,14,0.21
3347,4,0,4.0
3353,14,64,0.22
3360,6,15,0.4
3365,1,6,0.17
3366,3,1,3.0
3369,2,13,0.15
3378,1,2,0.5
3394,3,4,0.75
3400,3,5,0.6
3403,11,82,0.13
3412,3,0,3.0
3422,5,11,0.45
3425,4,-1,-4.0
3428,1,0,1.0
3432,1,5,0.2
3434,9,7,1.29
3440,4,15,0.27
3455,3,13,0.23
3458,2,5,0.4
3462,3,0,3.0
3466,2,2,1.0
3470,1,2,0.5
3473,6,42,0.14
3479,1,0,1.0
3481,4,9,0.44
3484,1,3,0.33
3486,7,8,0.88
3489,1,4,0.25
3502,5,6,0.83
3505,1,1,1.0
3515,6,3,2.0
3516,5,1,5.0
3521,7,5,1.4
3528,7,19,0.37
3556,4,3,1.33
3563,4,11,0.36
3571,4,2,2.0
3577,1,0,1.0
3579,8,5,1.6
3586,4,7,0.57
3600,7,16,0.44
3607,4,2,2.0
3615,12,54,0.22
3630,3,5,0.6
3633,3,4,0.75
3635,4,7,0.57
3639,1,11,0.09
3641,1,8,0.12
3646,8,17,0.47
3653,1,1,1.0
3654,4,4,1.0
3657,4,3,1.33
3669,7,4,1.75
3677,2,2,1.0
3683,8,20,0.4
3687,38,35,1.09
3709,4,-3,-1.33
3718,3,2,1.5
3721,5,2,2.5
3734,5,5,1.0
3735,1,2,0.5
3742,24,8,3.0
3747,4,0,4.0
3760,4,8,0.5
3764,2,3,0.67
3774,5,11,0.45
3778,1,0,1.0
3781,1,1,1.0
3783,1,7,0.14
3784,1,2,0.5
3792,3,7,0.43
3798,2,2,1.0
3802,3,2,1.5
3804,1,4,0.25
3806,1,6,0.17
3811,9,3,3.0
3813,1,8,0.12
3814,2,5,0.4
3816,3,2,1.5
3821,1,3,0.33
3823,3,2,1.5
3824,1,2,0.5
3828,5,7,0.71
3842,2,0,2.0
3843,3,3,1.0
3847,2,1,2.0
3848,1,2,0.5
3850,3,1,3.0
3857,2,3,0.67
3863,2,0,2.0
3866,2,-1,-2.0
3883,3,1,3.0
3884,2,0,2.0
3890,1,4,0.25
3891,7,2,3.5
3896,3,4,0.75
3901,5,1,5.0
3907,2,0,2.0
3911,6,4,1.5
3912,7,30,0.23
3919,4,1,4.0
3926,4,2,2.0
3930,1,1,1.0
3931,1,2,0.5
3932,8,2,4.0
3934,2,10,0.2
3936,6,9,0.67
3948,2,4,0.5
3957,1,8,0.12
3959,2,1,2.0
3964,3,1,3.0
3966,3,10,0.3
3972,1,0,1.0
3973,3,16,0.19
3979,1,3,0.33
3987,7,1,7.0
3988,1,1,1.0
3991,4,2,2.0
3997,5,6,0.83
4004,7,9,0.78
4008,2,13,0.15
4010,4,2,2.0
4012,9,12,0.75
4017,5,1,5.0
4020,3,0,3.0
4041,2,3,0.67
4054,3,4,0.75
4056,3,2,1.5
4064,1,3,0.33
4070,3,1,3.0
4080,4,9,0.44
4092,4,0,4.0
4093,1,1,1.0
4115,3,1,3.0
4128,3,13,0.23
4133,2,7,0.29
4135,2,2,1.0
4146,5,5,1.0
4152,6,36,0.17
4155,2,0,2.0
4157,1,0,1.0
4167,2,2,1.0
4168,3,9,0.33
4175,4,9,0.44
4176,1,3,0.33
4179,8,25,0.32
4181,1,2,0.5
4184,3,1,3.0
4185,1,0,1.0
4189,2,1,2.0
4202,2,4,0.5
4217,7,7,1.0
4219,1,2,0.5
4224,2,1,2.0
4234,1,1,1.0
4238,3,3,1.0
4240,4,12,0.33
4245,3,3,1.0
4248,3,1,3.0
4255,20,14,1.43
4273,3,2,1.5
4277,3,3,1.0
4279,8,5,1.6
4283,13,20,0.65
4301,2,1,2.0
4303,4,4,1.0
4319,1,3,0.33
4321,3,2,1.5
4323,5,1,5.0
4328,2,0,2.0
4336,1,5,0.2
4337,1,3,0.33
4338,3,1,3.0
4342,7,3,2.33
4357,2,0,2.0
4359,2,2,1.0
4364,4,1,4.0
4367,2,1,2.0
4371,3,11,0.27
4372,2,2,1.0
4376,12,91,0.13
4377,2,3,0.67
4379,1,4,0.25
4380,1,5,0.2
4384,1,1,1.0
4387,2,3,0.67
4391,5,25,0.2
4396,6,9,0.67
4397,3,6,0.5
4402,2,1,2.0
4407,1,4,0.25
4421,5,2,2.5
4428,2,3,0.67
4430,2,0,2.0
4436,1,0,1.0
4438,5,1,5.0
4445,6,2,3.0
4447,2,1,2.0
4448,26,23,1.13
4459,3,1,3.0
4460,1,0,1.0
4465,2,3,0.67
4481,4,6,0.67
4489,5,2,2.5
4492,1,1,1.0
4493,2,2,1.0
4496,1,2,0.5
4497,1,3,0.33
4499,2,1,2.0
4503,1,1,1.0
4508,9,49,0.18
4510,4,5,0.8
4511,2,4,0.5
4523,4,2,2.0
4528,3,5,0.6
4529,1,2,0.5
4542,1,4,0.25
4545,1,9,0.11
4547,4,2,2.0
4550,5,7,0.71
4551,5,5,1.0
4553,10,43,0.23
4557,1,1,1.0
4564,2,8,0.25
4565,2,39,0.05
4567,5,2,2.5
4575,3,5,0.6
4584,2,2,1.0
4587,5,3,1.67
4592,3,4,0.75
4597,6,5,1.2
4608,15,19,0.79
4617,2,11,0.18
4619,4,5,0.8
4628,7,5,1.4
4634,3,2,1.5
4636,2,1,2.0
4637,7,2,3.5
4639,1,1,1.0
4640,1,1,1.0
4644,2,1,2.0
4650,2,0,2.0
4654,2,3,0.67
4657,4,1,4.0
4661,2,3,0.67
4665,10,1,10.0
4679,5,31,0.16
4683,3,1,3.0
4692,9,21,0.43
4701,3,2,1.5
4702,2,0,2.0
4708,4,14,0.29
4715,3,19,0.16
4718,3,1,3.0
4719,7,11,0.64
4728,2,-1,-2.0
4733,15,9,1.67
4746,3,0,3.0
4760,5,4,1.25
4763,2,5,0.4
4766,3,2,1.5
4772,1,5,0.2
4773,4,6,0.67
4780,7,11,0.64
4794,1,3,0.33
4798,8,32,0.25
4802,2,3,0.67
4803,2,4,0.5
4807,3,6,0.5
4813,6,4,1.5
4817,4,-1,-4.0
4818,4,7,0.57
4823,2,6,0.33
4830,7,0,7.0
4848,10,2,5.0
4853,4,2,2.0
4856,6,2,3.0
4870,17,2,8.5
4876,3,3,1.0
4898,7,5,1.4
4907,4,6,0.67
4914,1,1,1.0
4916,5,35,0.14
4919,3,5,0.6
4923,2,2,1.0
4924,5,4,1.25
4931,1,5,0.2
4933,4,2,2.0
4935,4,5,0.8
4939,1,2,0.5
4942,3,2,1.5
4944,1,-1,-1.0
4946,1,4,0.25
4954,7,3,2.33
4963,13,8,1.62
4967,3,-1,-3.0
4977,3,1,3.0
4981,2,2,1.0
4985,4,3,1.33
4993,2,3,0.67
5006,4,6,0.67
5017,4,7,0.57
5027,1,1,1.0
5029,14,10,1.4
5041,3,1,3.0
5046,5,4,1.25
5052,5,16,0.31
5053,2,6,0.33
5056,3,5,0.6
5062,3,0,3.0
5070,4,8,0.5
5076,5,0,5.0
5078,3,4,0.75
5088,2,3,0.67
5097,77,5,15.4
5145,2,5,0.4
5153,6,1,6.0
5161,2,2,1.0
5167,3,3,1.0
5180,7,5,1.4
5188,17,35,0.49
5199,10,26,0.38
5207,4,20,0.2
5212,1,18,0.06
5215,5,7,0.71
5221,7,14,0.5
5229,3,11,0.27
5234,7,30,0.23
5241,2,5,0.4
5243,3,1,3.0
5255,3,11,0.27
5260,3,0,3.0
5265,2,4,0.5
5266,6,1,6.0
5273,3,0,3.0
5280,13,53,0.25
5290,2,2,1.0
5295,2,3,0.67
5296,3,11,0.27
5303,4,4,1.0
5304,6,3,2.0
5314,13,4,3.25
5326,2,7,0.29
5328,1,2,0.5
5329,7,7,1.0
5338,1,24,0.04
5340,1,2,0.5
5346,5,2,2.5
5364,2,1,2.0
5367,1,4,0.25
5370,5,5,1.0
5371,2,0,2.0
5384,2,8,0.25
5390,4,7,0.57
5391,1,2,0.5
5393,2,2,1.0
5399,10,11,0.91
5408,6,1,6.0
5415,2,1,2.0
5416,2,2,1.0
5421,10,0,10.0
5432,5,4,1.25
5436,5,13,0.38
5440,3,5,0.6
5444,2,1,2.0
5448,3,5,0.6
5450,1,2,0.5
5451,1,2,0.5
5455,4,-10,-0.4
5460,10,34,0.29
5461,6,5,1.2
5462,5,8,0.62
5468,1,0,1.0
5473,1,0,1.0
5484,1,1,1.0
5486,1,1,1.0
5495,1,1,1.0
5512,2,1,2.0
5525,1,0,1.0
5527,2,7,0.29
5534,2,4,0.5
5546,1,2,0.5
5547,3,0,3.0
5551,5,17,0.29
5558,10,20,0.5
5562,2,0,2.0
5572,1,2,0.5
5585,5,1,5.0
5589,4,1,4.0
5593,3,0,3.0
5597,3,3,1.0
5599,1,1,1.0
5602,2,3,0.67
5607,1,1,1.0
5612,5,1,5.0
5614,2,1,2.0
5622,3,3,1.0
5625,2,4,0.5
5628,5,5,1.0
5642,4,2,2.0
5656,3,2,1.5
5657,1,0,1.0
5660,2,0,2.0
5666,3,-1,-3.0
5673,3,2,1.5
5685,3,1,3.0
5698,3,1,3.0
5700,5,1,5.0
5707,4,1,4.0
5717,2,-1,-2.0
5721,2,1,2.0
5729,2,10,0.2
5730,2,-2,-1.0
5747,7,7,1.0
5752,3,5,0.6
5784,1,1,1.0
5790,10,2,5.0
5797,1,0,1.0
5808,5,5,1.0
5813,1,6,0.17
5821,16,16,1.0
5837,3,0,3.0
5842,3,2,1.5
5845,4,2,2.0
5852,1,1,1.0
5857,2,4,0.5
5860,2,3,0.67
5862,4,0,4.0
5865,1,16,0.06
5866,2,3,0.67
5871,5,13,0.38
5874,1,0,1.0
5879,2,1,2.0
5886,1,3,0.33
5900,2,3,0.67
5909,3,0,3.0
5916,5,0,5.0
5924,18,12,1.5
5933,4,26,0.15
5943,6,7,0.86
5945,4,7,0.57
5950,8,20,0.4
5961,2,6,0.33
5976,3,1,3.0
5981,1,8,0.12
5983,2,10,0.2
5988,3,1,3.0
5995,2,0,2.0
5999,1,13,0.08
6008,2,3,0.67
6019,1,0,1.0
6022,1,3,0.33
6029,2,0,2.0
6033,3,22,0.14
6037,3,2,1.5
6041,2,4,0.5
6044,2,2,1.0
6046,2,0,2.0
6048,1,6,0.17
6051,2,0,2.0
6057,1,2,0.5
6070,2,2,1.0
6074,5,9,0.56
6078,3,5,0.6
6082,4,0,4.0
6089,2,4,0.5
6092,3,1,3.0
6094,1,1,1.0
6095,1,1,1.0
6096,1,1,1.0
6108,4,3,1.33
6110,1,0,1.0
6113,2,2,1.0
6120,1,8,0.12
6130,2,0,2.0
6133,3,1,3.0
6136,4,4,1.0
6138,2,1,2.0
6140,5,1,5.0
6146,3,1,3.0
6155,1,0,1.0
6157,1,-4,-0.25
6161,2,8,0.25
6165,8,6,1.33
6174,2,3,0.67
6185,5,6,0.83
6187,3,2,1.5
6191,2,1,2.0
6193,3,19,0.16
6199,1,3,0.33
6201,1,2,0.5
6204,2,2,1.0
6211,2,5,0.4
6212,5,1,5.0
6220,2,5,0.4
6229,2,7,0.29
6235,5,3,1.67
6239,6,0,6.0
6244,4,8,0.5
6245,2,0,2.0
6250,16,46,0.35
6254,78,37,2.11
6336,10,3,3.33
6343,2,4,0.5
6347,3,7,0.43
6365,3,8,0.38
6368,2,13,0.15
6374,3,3,1.0
6375,1,-1,-1.0
6377,3,4,0.75
6378,1,3,0.33
6380,3,3,1.0
6382,1,9,0.11
6392,1,0,1.0
6400,1,-1,-1.0
6402,2,1,2.0
6404,2,2,1.0
6407,4,5,0.8
6412,2,5,0.4
6413,1,2,0.5
6421,1,2,0.5
6424,8,2,4.0
6428,5,6,0.83
6435,2,2,1.0
6439,1,5,0.2
6441,1,6,0.17
6444,6,7,0.86
6460,6,14,0.43
6466,2,3,0.67
6469,2,16,0.12
6470,1,5,0.2
6476,2,7,0.29
6480,29,34,0.85
6493,3,7,0.43
6495,3,9,0.33
6502,2,4,0.5
6506,12,-7,-1.71
6514,4,7,0.57
6519,1,1,1.0
6521,3,6,0.5
6529,2,0,2.0
6546,2,2,1.0
6549,3,1,3.0
6554,2,0,2.0
6557,6,5,1.2
6566,2,1,2.0
6578,12,14,0.86
6592,4,1,4.0
6593,3,3,1.0
6600,2,2,1.0
6602,2,5,0.4
6605,5,0,5.0
6611,4,15,0.27
6613,4,7,0.57
6615,3,12,0.25
6621,2,1,2.0
6638,2,1,2.0
6643,7,15,0.47
6647,3,0,3.0
6650,3,2,1.5
6655,1,1,1.0
6656,1,2,0.5
6658,2,1,2.0
6660,1,2,0.5
6662,15,35,0.43
6665,6,2,3.0
6676,2,0,2.0
6683,2,11,0.18
6687,2,1,2.0
6696,4,4,1.0
6698,2,10,0.2
6723,22,11,2.0
6737,2,2,1.0
6751,2,1,2.0
6752,12,25,0.48
6753,2,3,0.67
6755,1,2,0.5
6759,2,2,1.0
6763,1,5,0.2
6765,2,3,0.67
6766,1,0,1.0
6770,3,1,3.0
6776,4,11,0.36
6785,1,0,1.0
6786,6,5,1.2
6791,5,8,0.62
6792,2,3,0.67
6794,1,0,1.0
6801,1,2,0.5
6808,1,1,1.0
6812,2,12,0.17
6818,2,3,0.67
6821,2,12,0.17
6823,2,0,2.0
6834,5,8,0.62
6835,5,3,1.67
6848,1,3,0.33
6851,4,10,0.4
6853,1,3,0.33
6864,2,2,1.0
6866,6,5,1.2
6873,3,7,0.43
6877,2,2,1.0
6884,4,0,4.0
6885,3,1,3.0
6899,1,2,0.5
6904,2,2,1.0
6905,2,21,0.1
6912,2,3,0.67
6914,1,1,1.0
6917,5,-4,-1.25
6925,2,1,2.0
6928,5,5,1.0
6930,8,-2,-4.0
6937,5,10,0.5
6942,2,2,1.0
6959,4,17,0.24
6960,7,8,0.88
6961,5,3,1.67
6968,3,3,1.0
6975,1,2,0.5
6981,5,4,1.25
6982,5,14,0.36
6986,1,8,0.12
6993,3,3,1.0
6995,1,5,0.2
7000,2,1,2.0
7002,2,1,2.0
7008,4,7,0.57
7014,3,4,0.75
7020,6,29,0.21
7022,1,1,1.0
7029,10,2,5.0
7036,1,2,0.5
7039,5,3,1.67
7046,12,148,0.08
7060,5,13,0.38
7062,1,9,0.11
7070,8,7,1.14
7072,2,1,2.0
7082,3,4,0.75
7089,1,4,0.25
7097,1,3,0.33
7105,2,4,0.5
7112,1,2,0.5
7116,2,1,2.0
7119,8,14,0.57
7120,6,6,1.0
7121,1,1,1.0
7129,6,3,2.0
7135,2,8,0.25
7136,2,6,0.33
7151,3,-2,-1.5
7157,8,3,2.67
7160,3,11,0.27
7162,8,8,1.0
7168,3,1,3.0
7176,4,2,2.0
7188,5,10,0.5
7193,4,26,0.15
7194,4,1,4.0
7202,2,2,1.0
7205,3,9,0.33
7211,4,3,1.33
7219,1,5,0.2
7222,4,2,2.0
7229,3,3,1.0
7232,3,2,1.5
7237,16,128,0.12
7261,6,2,3.0
7270,2,1,2.0
7272,3,1,3.0
7273,1,1,1.0
